[NEWS] 10:59:59 Day=2 tick触发: 哔哩 哔哩控股 | 模板=🔻 哔哩控股 高管减持，股价承压！ | 持续=3天
[NEWS] 19:56:27 Day=2 tick触发: 隆平 隆平控股 | 模板=📉 隆平控股 业绩不及预期，下调评级！ | 持续=3天
[NEWS_FALLBACK] 19:56:27 Day=2 全市场兜底触发: 万科 万科控股 | 模板=⚡ 万科控股 面临监管调查！ | 持续=4天
[NEWS_FALLBACK] 19:56:27 Day=2 全市场兜底触发: 美的 美的控股 | 模板=📉 美的控股 业绩不及预期，下调评级！ | 持续=2天
[NEWS] 09:12:37 Day=2 tick触发: 中车 中车控股 | 模板=⚡ 中车控股 面临监管调查！ | 持续=1天
[NEWS] 09:12:37 Day=2 tick触发: 万科 万科控股 | 模板=⚡ 万科控股 面临监管调查！ | 持续=5天
[NEWS] 09:12:37 Day=2 tick触发: 紫金 紫金控股 | 模板=⚡ 紫金控股 面临监管调查！ | 持续=3天
[NEWS] 09:12:37 Day=2 tick触发: 宁德 宁德控股 | 模板=📈 宁德控股 获得大订单，后市看涨！ | 持续=3天
[NEWS_FALLBACK] 09:12:37 Day=2 全市场兜底触发: 中芯 中芯控股 | 模板=🔻 中芯控股 高管减持，股价承压！ | 持续=4天
[NEWS_FALLBACK] 09:12:37 Day=2 全市场兜底触发: 中石油 中石油控股 | 模板=🔻 中石油控股 高管减持，股价承压！ | 持续=2天
[NEWS] 09:13:53 Day=3 tick触发: 顺丰 顺丰控股 | 模板=📉 顺丰控股 业绩不及预期，下调评级！ | 持续=4天
[NEWS] 09:13:53 Day=3 tick触发: 比亚迪 比亚迪控股 | 模板=🔻 比亚迪控股 高管减持，股价承压！ | 持续=1天
[NEWS] 09:15:30 Day=5 tick触发: 茅台 茅台控股 | 模板=💰 茅台控股 分红超预期，利好公告！ | 持续=4天
[NEWS] 09:15:30 Day=5 tick触发: 隆平 隆平控股 | 模板=💰 隆平控股 分红超预期，利好公告！ | 持续=4天
[NEWS_FALLBACK] 09:15:30 Day=5 全市场兜底触发: 美的 美的控股 | 模板=💰 美的控股 分红超预期，利好公告！ | 持续=2天
[NEWS] 09:16:06 Day=6 tick触发: 恒瑞 恒瑞控股 | 模板=📉 恒瑞控股 业绩不及预期，下调评级！ | 持续=1天
[NEWS] 09:21:36 Day=7 tick触发: 中车 中车控股 | 模板=🚀 中车控股 技术突破，股价飙升！ | 持续=3天
[NEWS] 09:21:36 Day=7 tick触发: 哔哩 哔哩控股 | 模板=💸 哔哩控股 债务压力加剧！ | 持续=2天
[NEWS] 09:21:36 Day=7 tick触发: 紫金 紫金控股 | 模板=🚀 紫金控股 技术突破，股价飙升！ | 持续=1天
[NEWS_FALLBACK] 09:21:36 Day=7 全市场兜底触发: 中石油 中石油控股 | 模板=🔻 中石油控股 高管减持，股价承压！ | 持续=2天
[NEWS_FALLBACK] 09:21:36 Day=7 全市场兜底触发: 腾讯 腾讯控股 | 模板=⚡ 腾讯控股 面临监管调查！ | 持续=2天
[NEWS] 09:22:00 Day=8 tick触发: 恒瑞 恒瑞控股 | 模板=💰 恒瑞控股 分红超预期，利好公告！ | 持续=1天
[NEWS] 09:22:00 Day=8 tick触发: 美的 美的控股 | 模板=📈 美的控股 获得大订单，后市看涨！ | 持续=3天
[NEWS] 09:23:01 Day=9 tick触发: 船舶 船舶控股 | 模板=⚡ 船舶控股 面临监管调查！ | 持续=5天
[NEWS] 09:23:01 Day=9 tick触发: 紫金 紫金控股 | 模板=💰 紫金控股 分红超预期，利好公告！ | 持续=4天
[NEWS] 09:23:01 Day=9 tick触发: 中芯 中芯控股 | 模板=🔥 中芯控股 业绩预增，机构看好！ | 持续=1天
[NEWS] 09:24:06 Day=10 tick触发: 隆平 隆平控股 | 模板=🌟 隆平控股 入选指数成分股！ | 持续=3天
[NEWS] 09:25:16 Day=11 tick触发: 中车 中车控股 | 模板=💰 中车控股 分红超预期，利好公告！ | 持续=2天
[NEWS] 09:31:05 Day=12 tick触发: 顺丰 顺丰控股 | 模板=⚡ 顺丰控股 面临监管调查！ | 持续=1天
[NEWS] 12:11:03 Day=2 tick触发: 哔哩 哔哩控股 | 模板=🚀 哔哩控股 技术突破，股价飙升！ | 持续=3天
[NEWS] 12:11:03 Day=2 tick触发: 美的 美的控股 | 模板=⚠️ 美的控股 遭遇做空，警惕风险！ | 持续=1天
[NEWS_FALLBACK] 12:11:03 Day=2 全市场兜底触发: 中石油 中石油控股 | 模板=📉 中石油控股 业绩不及预期，下调评级！ | 持续=5天
[NEWS_FALLBACK] 12:11:03 Day=2 全市场兜底触发: 比亚迪 比亚迪控股 | 模板=🚀 比亚迪控股 技术突破，股价飙升！ | 持续=3天
[NEWS] 14:42:22 Day=2 tick触发: 茅台 茅台控股 | 模板=🔻 茅台控股 高管减持，股价承压！ | 持续=3天
[NEWS] 14:42:22 Day=2 tick触发: 恒瑞 恒瑞控股 | 模板=⚡ 恒瑞控股 面临监管调查！ | 持续=3天
[NEWS] 14:42:22 Day=2 tick触发: 万科 万科控股 | 模板=📈 万科控股 获得大订单，后市看涨！ | 持续=1天
[NEWS_FALLBACK] 14:42:22 Day=2 全市场兜底触发: 顺丰 顺丰控股 | 模板=💸 顺丰控股 债务压力加剧！ | 持续=4天
[NEWS] 14:48:07 Day=2 tick触发: 中石油 中石油控股 | 模板=📈 中石油控股 获得大订单，后市看涨！ | 持续=3天
[NEWS_FALLBACK] 14:48:07 Day=2 全市场兜底触发: 隆平 隆平控股 | 模板=🔻 隆平控股 高管减持，股价承压！ | 持续=5天
[NEWS] 15:03:15 Day=2 tick触发: 茅台 茅台控股 | 模板=💰 茅台控股 分红超预期，利好公告！ | 持续=3天
[NEWS] 15:03:15 Day=2 tick触发: 中车 中车控股 | 模板=⚠️ 中车控股 遭遇做空，警惕风险！ | 持续=2天
[NEWS] 15:03:15 Day=2 tick触发: 船舶 船舶控股 | 模板=💸 船舶控股 债务压力加剧！ | 持续=4天
[NEWS_FALLBACK] 15:03:15 Day=2 全市场兜底触发: 哔哩 哔哩控股 | 模板=🔥 哔哩控股 业绩预增，机构看好！ | 持续=4天
[NEWS] 15:05:12 Day=2 tick触发: 腾讯 腾讯控股 | 模板=⚡ 腾讯控股 面临监管调查！ | 持续=5天
[NEWS] 15:05:12 Day=2 tick触发: 平安 平安控股 | 模板=🔻 平安控股 高管减持，股价承压！ | 持续=1天
[NEWS] 15:05:12 Day=2 tick触发: 中车 中车控股 | 模板=⚡ 中车控股 面临监管调查！ | 持续=1天
[NEWS] 15:05:12 Day=2 tick触发: 隆平 隆平控股 | 模板=⚡ 隆平控股 面临监管调查！ | 持续=3天
[NEWS_FALLBACK] 15:05:12 Day=2 全市场兜底触发: 中芯 中芯控股 | 模板=💰 中芯控股 分红超预期，利好公告！ | 持续=3天
[NEWS] 15:21:12 Day=4 tick触发: 平安 平安控股 | 模板=⚡ 平安控股 面临监管调查！ | 持续=2天
[NEWS] 15:21:12 Day=4 tick触发: 顺丰 顺丰控股 | 模板=💰 顺丰控股 分红超预期，利好公告！ | 持续=5天
[NEWS] 15:21:12 Day=4 tick触发: 美的 美的控股 | 模板=🚀 美的控股 技术突破，股价飙升！ | 持续=3天
[NEWS] 15:21:37 Day=5 tick触发: 中车 中车控股 | 模板=🌟 中车控股 入选指数成分股！ | 持续=1天
[NEWS] 15:21:37 Day=5 tick触发: 紫金 紫金控股 | 模板=⚡ 紫金控股 面临监管调查！ | 持续=2天
[NEWS] 15:22:15 Day=6 tick触发: 中石油 中石油控股 | 模板=📉 中石油控股 业绩不及预期，下调评级！ | 持续=5天
[NEWS] 15:22:15 Day=6 tick触发: 隆平 隆平控股 | 模板=🌟 隆平控股 入选指数成分股！ | 持续=5天
[NEWS] 15:23:16 Day=7 tick触发: 万科 万科控股 | 模板=📈 万科控股 获得大订单，后市看涨！ | 持续=5天
[NEWS] 15:42:49 Day=2 tick触发: 茅台 茅台控股 | 模板=🚀 茅台控股 技术突破，股价飙升！ | 持续=3天
[NEWS_FALLBACK] 15:42:49 Day=2 全市场兜底触发: 平安 平安控股 | 模板=🔻 平安控股 高管减持，股价承压！ | 持续=3天
[NEWS] 15:43:20 Day=3 tick触发: 恒瑞 恒瑞控股 | 模板=⚠️ 恒瑞控股 遭遇做空，警惕风险！ | 持续=3天
[NEWS] 15:43:20 Day=3 tick触发: 船舶 船舶控股 | 模板=📈 船舶控股 获得大订单，后市看涨！ | 持续=4天
[NEWS] 15:43:20 Day=3 tick触发: 哔哩 哔哩控股 | 模板=📈 哔哩控股 获得大订单，后市看涨！ | 持续=5天
[NEWS] 15:43:20 Day=3 tick触发: 宁德 宁德控股 | 模板=🔥 宁德控股 业绩预增，机构看好！ | 持续=4天
[NEWS] 15:53:15 Day=3 tick触发: 中石油 中石油控股 | 模板=⚡ 中石油控股 面临监管调查！ | 持续=1天
[NEWS] 15:53:15 Day=3 tick触发: 茅台 茅台控股 | 模板=🚀 茅台控股 技术突破，股价飙升！ | 持续=3天
[NEWS] 15:53:15 Day=3 tick触发: 隆平 隆平控股 | 模板=💸 隆平控股 债务压力加剧！ | 持续=3天
[NEWS] 15:53:15 Day=3 tick触发: 船舶 船舶控股 | 模板=🔥 船舶控股 业绩预增，机构看好！ | 持续=2天
[NEWS] 15:53:15 Day=3 tick触发: 宁德 宁德控股 | 模板=🔥 宁德控股 业绩预增，机构看好！ | 持续=4天
[NEWS_FALLBACK] 15:53:15 Day=3 全市场兜底触发: 比亚迪 比亚迪控股 | 模板=🔥 比亚迪控股 业绩预增，机构看好！ | 持续=1天
[NEWS] 15:54:11 Day=4 tick触发: 万科 万科控股 | 模板=🌟 万科控股 入选指数成分股！ | 持续=5天
[NEWS] 15:54:11 Day=4 tick触发: 中芯 中芯控股 | 模板=🔥 中芯控股 业绩预增，机构看好！ | 持续=4天
[NEWS_FALLBACK] 15:54:11 Day=4 全市场兜底触发: 顺丰 顺丰控股 | 模板=🔻 顺丰控股 高管减持，股价承压！ | 持续=5天
[NEWS] 15:54:45 Day=5 tick触发: 恒瑞 恒瑞控股 | 模板=🔥 恒瑞控股 业绩预增，机构看好！ | 持续=1天
[NEWS] 15:55:31 Day=6 tick触发: 中车 中车控股 | 模板=⚠️ 中车控股 遭遇做空，警惕风险！ | 持续=2天
[NEWS] 15:56:31 Day=7 tick触发: 隆平 隆平控股 | 模板=💸 隆平控股 债务压力加剧！ | 持续=2天
[NEWS_FALLBACK] 15:56:31 Day=7 全市场兜底触发: 比亚迪 比亚迪控股 | 模板=💰 比亚迪控股 分红超预期，利好公告！ | 持续=4天
[NEWS_FALLBACK] 15:56:31 Day=7 全市场兜底触发: 平安 平安控股 | 模板=🔥 平安控股 业绩预增，机构看好！ | 持续=5天
[NEWS] 15:56:58 Day=8 tick触发: 中石油 中石油控股 | 模板=🔻 中石油控股 高管减持，股价承压！ | 持续=4天
[NEWS] 15:57:32 Day=9 tick触发: 恒瑞 恒瑞控股 | 模板=🔻 恒瑞控股 高管减持，股价承压！ | 持续=2天
[NEWS] 15:57:32 Day=9 tick触发: 中芯 中芯控股 | 模板=🚀 中芯控股 技术突破，股价飙升！ | 持续=2天
[NEWS] 15:58:06 Day=10 tick触发: 腾讯 腾讯控股 | 模板=⚠️ 腾讯控股 遭遇做空，警惕风险！ | 持续=4天
[NEWS] 15:58:06 Day=10 tick触发: 万科 万科控股 | 模板=💸 万科控股 债务压力加剧！ | 持续=5天
[NEWS] 15:58:06 Day=10 tick触发: 隆平 隆平控股 | 模板=💰 隆平控股 分红超预期，利好公告！ | 持续=4天
[NEWS] 15:58:33 Day=11 tick触发: 中车 中车控股 | 模板=💰 中车控股 分红超预期，利好公告！ | 持续=4天
[NEWS] 15:58:33 Day=11 tick触发: 哔哩 哔哩控股 | 模板=💸 哔哩控股 债务压力加剧！ | 持续=1天
[NEWS] 15:58:58 Day=12 tick触发: 茅台 茅台控股 | 模板=🚀 茅台控股 技术突破，股价飙升！ | 持续=5天
[NEWS] 15:58:58 Day=12 tick触发: 美的 美的控股 | 模板=🚀 美的控股 技术突破，股价飙升！ | 持续=3天
[NEWS] 15:59:42 Day=13 tick触发: 中石油 中石油控股 | 模板=📈 中石油控股 获得大订单，后市看涨！ | 持续=5天
[NEWS] 15:59:42 Day=13 tick触发: 顺丰 顺丰控股 | 模板=💸 顺丰控股 债务压力加剧！ | 持续=2天
[NEWS_FALLBACK] 15:59:42 Day=13 全市场兜底触发: 紫金 紫金控股 | 模板=🔻 紫金控股 高管减持，股价承压！ | 持续=2天
[NEWS] 16:00:08 Day=14 tick触发: 恒瑞 恒瑞控股 | 模板=⚠️ 恒瑞控股 遭遇做空，警惕风险！ | 持续=1天
[NEWS] 16:01:02 Day=15 tick触发: 腾讯 腾讯控股 | 模板=🌟 腾讯控股 入选指数成分股！ | 持续=2天
[NEWS] 16:01:02 Day=15 tick触发: 平安 平安控股 | 模板=⚡ 平安控股 面临监管调查！ | 持续=5天
[NEWS] 16:01:02 Day=15 tick触发: 宁德 宁德控股 | 模板=📉 宁德控股 业绩不及预期，下调评级！ | 持续=3天
[NEWS_FALLBACK] 16:01:02 Day=15 全市场兜底触发: 紫金 紫金控股 | 模板=💸 紫金控股 债务压力加剧！ | 持续=2天
